tecnologia,Grande Porte,Pequeno Porte
ADSL1,152911.0,28206.0
ADSL2,1406908.0,485.0
ATM,163990.0,39.0
Cable Modem,4994284.0,404483.0
DTH,,130.0
DWDM,2199.0,1141.0
ETHERNET,382654.0,1182845.0
FR,8996.0,5106.0
FTTB,290287.0,113288.0
FTTH,9091355.0,4206766.0
FWA,35201.0,112078.0
Fibra,5916457.0,2099441.0
GSM,,5.0
HDSL,65840.0,3720.0
HFC,20181438.0,158144.0
LTE,568249.0,753.0
MMDS,,1369.0
NR,,123.0
NR NSA,,124495.0
OFDMA/TDD,,29967.0
PDH,118.0,
PLC,170.0,1222.0
SDH,116.0,78.0
TDMA,,7036.0
VDSL,383224.0,734.0
VSAT,12971.0,48067.0
WIMAX,88.0,8066.0
Wi-Fi,693.0,726867.0
xDSL,10299700.0,54014.0
